Format Version,1.22,Take Name,Take 2022-10-25 08.45.45 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,03 Jan 1970 18:43:55 +0100,Total Frames in Take,5872,Total Exported Frames,5872,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,MarkerSet 01:LDPI,MarkerSet 01:LDPI,MarkerSet 01:LDPI,MarkerSet 01:LFAL,MarkerSet 01:LFAL,MarkerSet 01:LFAL,MarkerSet 01:LFAX,MarkerSet 01:LFAX,MarkerSet 01:LFAX,MarkerSet 01:LFCC,MarkerSet 01:LFCC,MarkerSet 01:LFCC,MarkerSet 01:LFLE,MarkerSet 01:LFLE,MarkerSet 01:LFLE,MarkerSet 01:LFTC,MarkerSet 01:LFTC,MarkerSet 01:LFTC,MarkerSet 01:RDPI,MarkerSet 01:RDPI,MarkerSet 01:RDPI,MarkerSet 01:RFAL,MarkerSet 01:RFAL,MarkerSet 01:RFAL,MarkerSet 01:RFAX,MarkerSet 01:RFAX,MarkerSet 01:RFAX,MarkerSet 01:RFCC,MarkerSet 01:RFCC,MarkerSet 01:RFCC,MarkerSet 01:RFLE,MarkerSet 01:RFLE,MarkerSet 01:RFLE,MarkerSet 01:RFTC,MarkerSet 01:RFTC,MarkerSet 01:RFTC
,,"B52F2796543911ED7EEFDE2CB71CBAB4","B52F2796543911ED7EEFDE2CB71CBAB4","B52F2796543911ED7EEFDE2CB71CBAB4","B52F2797543911ED7EEFDE2CB71CBAB4","B52F2797543911ED7EEFDE2CB71CBAB4","B52F2797543911ED7EEFDE2CB71CBAB4","D23BB09F543911ED7EEFDE2CB71CBAB4","D23BB09F543911ED7EEFDE2CB71CBAB4","D23BB09F543911ED7EEFDE2CB71CBAB4","B52F2795543911ED7EEFDE2CB71CBAB4","B52F2795543911ED7EEFDE2CB71CBAB4","B52F2795543911ED7EEFDE2CB71CBAB4","D23BB0A0543911ED7EEFDE2CB71CBAB4","D23BB0A0543911ED7EEFDE2CB71CBAB4","D23BB0A0543911ED7EEFDE2CB71CBAB4","D8C917AD543911ED7EEFDE2CB71CBAB4","D8C917AD543911ED7EEFDE2CB71CBAB4","D8C917AD543911ED7EEFDE2CB71CBAB4","E7394153543911ED7EEFDE2CB71CBAB4","E7394153543911ED7EEFDE2CB71CBAB4","E7394153543911ED7EEFDE2CB71CBAB4","E7394154543911ED7EEFDE2CB71CBAB4","E7394154543911ED7EEFDE2CB71CBAB4","E7394154543911ED7EEFDE2CB71CBAB4","E7394155543911ED7EEFDE2CB71CBAB4","E7394155543911ED7EEFDE2CB71CBAB4","E7394155543911ED7EEFDE2CB71CBAB4","D8C917AE543911ED7EEFDE2CB71CBAB4","D8C917AE543911ED7EEFDE2CB71CBAB4","D8C917AE543911ED7EEFDE2CB71CBAB4","EDAA662C543911ED7EEFDE2CB71CBAB4","EDAA662C543911ED7EEFDE2CB71CBAB4","EDAA662C543911ED7EEFDE2CB71CBAB4","EDAA662D543911ED7EEFDE2CB71CBAB4","EDAA662D543911ED7EEFDE2CB71CBAB4","EDAA662D543911ED7EEFDE2CB71CBAB4"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.254674,0.038234,0.255791,0.264401,0.070454,0.082883,0.266845,0.454781,0.115629,0.202200,0.057597,0.059939,0.258770,0.499795,0.119539,0.240314,0.900246,0.138501,-0.179595,0.035228,0.251949,-0.188259,0.068215,0.087050,-0.161688,0.446291,0.161233,-0.123782,0.080298,0.058238,-0.145987,0.493552,0.187638,-0.113064,0.893532,0.177560
1,0.008333,0.254683,0.038214,0.255793,0.264410,0.070475,0.082885,0.266863,0.454790,0.115650,0.202196,0.057597,0.059948,0.258799,0.499796,0.119555,0.240305,0.900239,0.138539,-0.179582,0.035223,0.251963,-0.188261,0.068228,0.087054,-0.161679,0.446278,0.161229,-0.123793,0.080303,0.058256,-0.145992,0.493560,0.187631,-0.113029,0.893541,0.177564
2,0.016667,0.254666,0.038216,0.255799,0.264415,0.070477,0.082876,0.266905,0.454797,0.115676,0.202201,0.057592,0.059951,0.258820,0.499797,0.119581,0.240316,0.900225,0.138577,-0.179599,0.035218,0.251965,-0.188271,0.068247,0.087056,-0.161677,0.446298,0.161210,-0.123827,0.080320,0.058255,-0.145989,0.493558,0.187621,-0.113005,0.893555,0.177569
3,0.025000,0.254679,0.038229,0.255801,0.264425,0.070480,0.082872,0.266898,0.454800,0.115686,0.202225,0.057624,0.059941,0.258840,0.499796,0.119600,0.240343,0.900234,0.138621,-0.179625,0.035222,0.251963,-0.188286,0.068248,0.087066,-0.161670,0.446301,0.161194,-0.123809,0.080325,0.058251,-0.145992,0.493578,0.187597,-0.112991,0.893554,0.177582
4,0.033333,0.254687,0.038227,0.255809,0.264418,0.070477,0.082876,0.266917,0.454796,0.115702,0.202218,0.057619,0.059949,0.258855,0.499799,0.119602,0.240360,0.900239,0.138663,-0.179626,0.035219,0.251966,-0.188276,0.068258,0.087054,-0.161657,0.446302,0.161195,-0.123819,0.080326,0.058259,-0.145980,0.493586,0.187581,-0.112976,0.893562,0.177587
5,0.041667,0.254687,0.038223,0.255786,0.264419,0.070469,0.082877,0.266926,0.454787,0.115690,0.202232,0.057626,0.059942,0.258869,0.499811,0.119613,0.240356,0.900244,0.138699,-0.179626,0.035229,0.251955,-0.188268,0.068244,0.087057,-0.161662,0.446309,0.161159,-0.123819,0.080327,0.058254,-0.145969,0.493585,0.187563,-0.112974,0.893567,0.177588
6,0.050000,0.254703,0.038214,0.255797,0.264420,0.070469,0.082878,0.266932,0.454795,0.115696,0.202228,0.057616,0.059958,0.258869,0.499794,0.119623,0.240370,0.900240,0.138726,-0.179643,0.035223,0.251964,-0.188268,0.068239,0.087076,-0.161670,0.446328,0.161124,-0.123795,0.080327,0.058262,-0.145998,0.493590,0.187526,-0.112965,0.893577,0.177589
7,0.058333,0.254686,0.038220,0.255807,0.264425,0.070482,0.082880,0.266946,0.454805,0.115708,0.202220,0.057614,0.059949,0.258880,0.499807,0.119645,0.240382,0.900235,0.138754,-0.179617,0.035224,0.251971,-0.188272,0.068248,0.087057,-0.161672,0.446344,0.161096,-0.123789,0.080325,0.058269,-0.145994,0.493595,0.187498,-0.112981,0.893591,0.177585
8,0.066667,0.254692,0.038214,0.255803,0.264434,0.070474,0.082879,0.266933,0.454772,0.115725,0.202228,0.057615,0.059951,0.258898,0.499802,0.119649,0.240386,0.900236,0.138769,-0.179643,0.035223,0.251960,-0.188259,0.068247,0.087061,-0.161664,0.446342,0.161087,-0.123782,0.080318,0.058266,-0.145985,0.493603,0.187473,-0.112946,0.893600,0.177599
